code,name,branch,combination,amout_2016,score_2016,amount_2017
NHF,Đại học Hà Nội,Quản trị kinh doanh,D01,100,29.25,100
NHF,Đại học Hà Nội,Quốc tế học,D01,125,27.5,125
NHF,Đại học Hà Nội,Ngôn ngữ Anh,D01,250,31.75,300
NHF,Đại học Hà Nội,Ngôn ngữ Tây Ban Nha,D01,50,29,75
NHF,Đại học Hà Nội,Ngôn ngữ Bồ Đào Nha,D01,50,26,50
NHF,Đại học Hà Nội,Ngôn ngữ Italia,D01,100,25,100
NHF,Đại học Hà Nội,Ngôn ngữ Nhật,"D01, D06",150,32.5,175
NHF,Đại học Hà Nội,Ngôn ngữ Hàn Quốc,D01,100,32,125
HTC,Học viện Tài chính,Ngôn ngữ Anh,D01,200,22.25,100
HTC,Học viện Tài chính,Kế toán,"A00, A01",1300,24,600
HTC,Học viện Tài chính,Kế toán,D01,1300,19.75,600
HTC,Học viện Tài chính,Quản trị kinh doanh,"A00, A01,D01",240,23,120
HTC,Học viện Tài chính,Kinh tế,"A00, A01,D01",240,17.25,120
HTC,Học viện Tài chính,Tài chính Ngân hàng,"A00, A01, D01",1900,19.5,950
HTC,Học viện Tài chính,hàng,D01,1900,17,950
HTC,Học viện Tài chính,Hệ thống thông tin quản lý,"A00, A01, D01",120,17.5,60
HTC,Học viện Tài chính,Hệ thống thông tin quản lý,D01,120,23,60
MDA,Đại học Mỏ - Địa chất,Kỹ thuật dầu khí,A00,230,5.11,135
MDA,Đại học Mỏ - Địa chất,Kỹ thuật dầu khí,A01,230,5.11,135
MDA,Đại học Mỏ - Địa chất,Kỹ thuật địa vật lý,A00,60,5.11,40
MDA,Đại học Mỏ - Địa chất,Kỹ thuật địa vật lý,A01,60,5.11,40
MDA,Đại học Mỏ - Địa chất,Công nghệ kỹ thuật hóa học,A00,100,5.14,100
MDA,Đại học Mỏ - Địa chất,Công nghệ kỹ thuật hóa học,A01,100,5.14,100
MDA,Đại học Mỏ - Địa chất,Kỹ thuật địa chất,"A00, A01",350,5,200
MDA,Đại học Mỏ - Địa chất,Kỹ thuật Trắc địa - Bản đồ,"A00, A01",300,5,290
MDA,Đại học Mỏ - Địa chất,Quản lý đất đai,"A00, A01,D01, B00",100,5.21,290
MDA,Đại học Mỏ - Địa chất,Kỹ thuật mỏ,"A00, A01",220,5.02,150
MDA,Đại học Mỏ - Địa chất,Kỹ thuật tuyển khoáng,"A00, A01",160,5.02,80
MDA,Đại học Mỏ - Địa chất,Công nghệ thông tin,"A00, A01",480,5.32,500
MDA,Đại học Mỏ - Địa chất,Kỹ thuật điều khiển và tự động hóa,"A00, A01",180,5.82,180
MDA,Đại học Mỏ - Địa chất,Kỹ thuật cơ khí,A00,190,5.22,300
MDA,Đại học Mỏ - Địa chất,Kỹ thuật cơ khí,A01,190,5.22,300
MDA,Đại học Mỏ - Địa chất,Kỹ thuật công trình xây dựng,"A00, A01",350,5.02,280
MDA,Đại học Mỏ - Địa chất,Kỹ thuật môi trường,"A00, A01,B00",250,5,180
MDA,Đại học Mỏ - Địa chất,Quản trị kinh doanh,"A00, A01,D01",210,5.46,250
MDA,Đại học Mỏ - Địa chất,Kế toán,A00,260,5.69,450
MDA,Đại học Mỏ - Địa chất,Kế toán,A01,260,5.69,450
MDA,Đại học Mỏ - Địa chất,Kế toán,D01,260,5.69,450
MDA,Đại học Mỏ - Địa chất,"Kỹ thuật điện, điện tử","A00, A01",240,5.82,300
MDA,Đại học Mỏ - Địa chất,Kỹ thuật mỏ,"A00, A01",40,5,40
MDA,Đại học Mỏ - Địa chất,Quản trị kinh doanh,"A00, A01,D01",40,5,40
MDA,Đại học Mỏ - Địa chất,Kế toán,"A00, A01,D01",40,5,40
MDA,Đại học Mỏ - Địa chất,Kỹ thuật dầu khí,"A00, A01",50,5.04,40
KHA,Đại học Kinh tế quốc dân,Thống kê kinh tế,"A00, A01, D01, B00",120,21.45,140
KHA,Đại học Kinh tế quốc dân,Toán ứng dụng trong kinh tê,"A00, A01, D01, B00",120,20.64,140
KHA,Đại học Kinh tế quốc dân,Kinh tế tài nguyên,"A00, A01, D01, B00",70,21,80
KHA,Đại học Kinh tế quốc dân,Các chương trình định hướng ứng dụng,"D01, A01",350,26.16,350
KHA,Đại học Kinh tế quốc dân,Ngôn ngữ Anh,D01,120,28.76,140
KHA,Đại học Kinh tế quốc dân,Kinh tế,"A00, A01, D01, B00",750,23.46,720
KHA,Đại học Kinh tế quốc dân,Kinh tế quốc tế,"A00, A01, D01, B00",120,25.44,70
KHA,Đại học Kinh tế quốc dân,Quản trị kinh doanh,"A00, A01, D01, B00",330,24.06,340
KHA,Đại học Kinh tế quốc dân,Quản trị dịch vụ du lịch và lữ hành,"A00, A01, D01, B00",120,23.1,120
KHA,Đại học Kinh tế quốc dân,Quản trị khách sạn,"A00, A01, D01, B00",70,23.34,70
KHA,Đại học Kinh tế quốc dân,Marketing,"A00, A01, D01, B00",200,24.09,200
KHA,Đại học Kinh tế quốc dân,Bất động sản,"A00, A01, D01, B00",130,22.05,140
KHA,Đại học Kinh tế quốc dân,Kinh doanh quốc tế,"A00, A01, D01, B00",140,24.81,140
KHA,Đại học Kinh tế quốc dân,Kinh doanh thương mại,"A00, A01, D01, B00",170,23.76,170
KHA,Đại học Kinh tế quốc dân,Tài chính - Ngân hàng,"A00, A01, D01, B00",520,24.03,480
KHA,Đại học Kinh tế quốc dân,Bảo hiểm,"A00, A01, D01, B00",140,21.75,150
KHA,Đại học Kinh tế quốc dân,Kế toán,"A00, A01, D01, B00",400,25.5,400
KHA,Đại học Kinh tế quốc dân,Quản trị nhân lực,"A00, A01, D01, B00",120,23.31,80
KHA,Đại học Kinh tế quốc dân,Hệ thống thông tin quản lý,"A00, A01, D01, B00",120,22.35,130
KHA,Đại học Kinh tế quốc dân,Luật,"A00, A01, D01, B00",120,22.92,120
YHB,Đại học Y Hà Nội,Khúc xạ Nhãn khoa,B00,50,24.5,50
YHB,Đại học Y Hà Nội,Y đa khoa,B00,500,27,500
YHB,Đại học Y Hà Nội,Y học Cổ truyền,B00,50,25.5,50
YHB,Đại học Y Hà Nội,Y tế công cộng,B00,30,23.25,30
YHB,Đại học Y Hà Nội,Y học Dự phòng,B00,100,24,100
YHB,Đại học Y Hà Nội,Dinh Dưỡng,B00,50,23.5,50
YHB,Đại học Y Hà Nội,Xét nghiệm y học,B00,50,24.75,50
YHB,Đại học Y Hà Nội,Điều dưỡng,B00,90,24,90
YHB,Đại học Y Hà Nội,Răng Hàm Mặt,B00,80,26.75,80
YTB,Đại học Y Dược Thái Bình,Y đa khoa,B00,580,25.25,600
YTB,Đại học Y Dược Thái Bình,Dược học,B00,120,24.25,120
YTB,Đại học Y Dược Thái Bình,Y học cổ truyền,B00,60,23.75,60
YTB,Đại học Y Dược Thái Bình,Y học dự phòng,B00,60,23.25,60
YTB,Đại học Y Dược Thái Bình,Điều dưỡng,B00,120,22.5,110
YTB,Đại học Y Dược Thái Bình,Y tế công cộng,B00,60,21.25,60
DCN,Đại học Công nghiệp Hà Nội,Công nghệ kỹ thuật cơ khí,"A00, A01",450,21.4,520
DCN,Đại học Công nghiệp Hà Nội,Công nghệ kỹ thuật cơ điện tử,"A00, A01",210,23,210
DCN,Đại học Công nghiệp Hà Nội,Công nghệ kỹ thuật ô tô,"A00, A01",360,21.3,420
DCN,Đại học Công nghiệp Hà Nội,"Công nghệ kỹ thuật điện, điện tử","A00, A01",450,21.55,510
DCN,Đại học Công nghiệp Hà Nội,Khoa học máy tính,"A00, A01",140,19.9,120
DCN,Đại học Công nghiệp Hà Nội,Kế toán,"A00, A01, D01",720,20.3,780
DCN,Đại học Công nghiệp Hà Nội,Công nghệ kỹ thuật nhiệt,"A00, A01",160,20.1,140
NTH,Đại học Ngoại thương,Ngôn ngữ Anh,D01,170,33.03,170
NTH,Đại học Ngoại thương,Ngôn ngữ Pháp,D03,60,31.77,60
NTH,Đại học Ngoại thương,Ngôn ngữ Trung,D01,60,32.31,60
NTH,Đại học Ngoại thương,Ngôn ngữ Trung,D04,60,29.31,60
NTH,Đại học Ngoại thương,Ngôn ngữ Nhật,D01,90,32.46,90
NTH,Đại học Ngoại thương,Ngôn ngữ Nhật,D06,90,29.46,90
NTH,Đại học Ngoại thương,Kinh tế,A00,890,26.45,840
NTH,Đại học Ngoại thương,Kinh tế,A01,890,24.95,840
NTH,Đại học Ngoại thương,Kinh tế,D01,890,24.95,840
NTH,Đại học Ngoại thương,Kinh tế,D02,890,23.45,840
NTH,Đại học Ngoại thương,Kinh tế,D03,890,24.95,840
NTH,Đại học Ngoại thương,Kinh tế,D04,890,24.95,840
NTH,Đại học Ngoại thương,Kinh tế,D06,890,24.95,840
NTH,Đại học Ngoại thương,Kinh tế quốc tế,A00,340,26.45,340
NTH,Đại học Ngoại thương,Kinh tế quốc tế,A01,340,24.95,340
NTH,Đại học Ngoại thương,Kinh tế quốc tế,D01,340,24.95,340
NTH,Đại học Ngoại thương,Kinh tế quốc tế,D03,340,24.95,340
NTH,Đại học Ngoại thương,Quản trị kinh doanh,A00,390,26.35,340
NTH,Đại học Ngoại thương,Quản trị kinh doanh,A01,390,24.83,340
NTH,Đại học Ngoại thương,Quản trị kinh doanh,D01,390,24.85,340
NTH,Đại học Ngoại thương,Kinh doanh quốc tế,A00,140,26.35,140
NTH,Đại học Ngoại thương,Kinh doanh quốc tế,A01,140,24.83,140
NTH,Đại học Ngoại thương,Kinh doanh quốc tế,D01,140,24.85,140
NTH,Đại học Ngoại thương,Tài chính - Ngânhàng,A00,340,25.8,340
NTH,Đại học Ngoại thương,Tài chính - Ngânhàng,A01,340,24.3,340
NTH,Đại học Ngoại thương,Tài chính - Ngânhàng,D01,340,24.3,340
NTH,Đại học Ngoại thương,Luật,A00,120,26.45,120
NTH,Đại học Ngoại thương,Luật,A01,120,24.95,120
NTH,Đại học Ngoại thương,Luật,D01,120,24.95,120
NTS,Đại học Ngoại thương,Kinh tế,A00,500,26.5,500
NTS,Đại học Ngoại thương,Kinh tế,A01,500,25,500
NTS,Đại học Ngoại thương,Kinh tế,D01,500,25,500
NTS,Đại học Ngoại thương,Kinh tế,D06,500,25,500
NTS,Đại học Ngoại thương,Quản trị kinh doanh,A00,250,26,150
NTS,Đại học Ngoại thương,Quản trị kinh doanh,A01,250,24.5,150
NTS,Đại học Ngoại thương,Quản trị kinh doanh,D01,250,24.5,150
NTS,Đại học Ngoại thương,hàng,A00,150,25.75,150
NTS,Đại học Ngoại thương,hàng,A01,150,24.25,150
NTS,Đại học Ngoại thương,hàng,D01,150,24.25,150
NTH,Đại học Ngoại thương,Quản trị kinh doanh,A00,120,18,70
NTH,Đại học Ngoại thương,Quản trị kinh doanh,A01,120,18,70
NTH,Đại học Ngoại thương,Quản trị kinh doanh,D01,120,18,70
NTH,Đại học Ngoại thương,Kinh doanh quốc tế,A00,80,18,80
NTH,Đại học Ngoại thương,Kinh doanh quốc tế,A01,80,18,80
NTH,Đại học Ngoại thương,Kinh doanh quốc tế,D01,80,18,80
TLA,Đại học Thủy lợi,Cấp thoát nước,"A00, A01",120,5.67,190
TLA,Đại học Thủy lợi,Kinh tế,"A00, A01",100,6.43,130
TLA,Đại học Thủy lợi,Quản trị kinh doanh,"A00, A01",120,6.47,140
TLA,Đại học Thủy lợi,Kế toán,"A00, A01",210,6.72,210
TLA,Đại học Thủy lợi,Thủy văn,"A00, A01",70,5.68,210
TLA,Đại học Thủy lợi,Công nghệ thông tin,"A00, A01",210,6.72,400
TLA,Đại học Thủy lợi,Công nghệ kỹ thuật xây dựng,"A00, A01",120,5.67,920
TLA,Đại học Thủy lợi,Kỹ thuật cơ khí,"A00, A01",210,6.32,320
TLA,Đại học Thủy lợi,Kỹ thuật công trình xây dựng,"A00, A01",290,6.02,920
TLA,Đại học Thủy lợi,Kỹ thuật công trình thủy,"A00, A01",300,5.71,920
TLA,Đại học Thủy lợi,Kỹ thuật công trình biển,"A00, A01",70,5.72,920
TLA,Đại học Thủy lợi,Kỹ thuật xây dựng công trình giao thông,"A00, A01",190,5.67,920
TLA,Đại học Thủy lợi,Kỹ thuật cơ sở hạ tầng,"A00, A01",70,5.9,190
TLA,Đại học Thủy lợi,Kỹ thuật tài nguyên nước,"A00, A01",210,5.67,210
TLA,Đại học Thủy lợi,Quản lý xây dựng,"A00, A01",140,5.87,920
TLA,Đại học Thủy lợi,Chương trình tiên tiến ngành Kỹ thuật xây dựng,"A00, A01",100,5.39,60
TLA,Đại học Thủy lợi,Chương trình tiên tiến ngành Kỹ thuật tài nguyên nước,"A00, A01",50,5.33,60
TLS,Đại học Thủy lợi,Cấp thoát nước,"A00, A01",70,15,100
TLS,Đại học Thủy lợi,Công nghệ kỹ thuật xây dựng,"A00, A01",70,16,280
TLS,Đại học Thủy lợi,Kỹ thuật công trình xây dựng,"A00, A01",140,15,280
TLS,Đại học Thủy lợi,Kỹ thuật công trình thủy,"A00, A01",140,15,280
TLS,Đại học Thủy lợi,Kỹ thuật xây dựng công trình giao thông,"A00, A01",90,15,280
TLS,Đại học Thủy lợi,Kỹ thuật tài nguyên nước,"A00, A01",70,15,100
TMA,Đại học Thương mại,Kinh tế,A00,300,23,300
TMA,Đại học Thương mại,Kinh tế,A01,300,21.5,300
TMA,Đại học Thương mại,Quản trị dịch vụ du lịch và lữ hành,D01,200,20.75,200
TMA,Đại học Thương mại,Quản trị khách sạn,D01,200,21,200
TMA,Đại học Thương mại,Marketing (Marketing thương mại),A00,450,23,250
TMA,Đại học Thương mại,Marketing (Marketing thương mại),D01,450,22,250
TMA,Đại học Thương mại,Marketing (Quản trị thương hiệu),A00,450,22.25,200
TMA,Đại học Thương mại,Marketing (Quản trị thương hiệu),D01,450,21.5,200
TMA,Đại học Thương mại,Kinh doanh quốc tế,D01,300,21.25,200
TMA,Đại học Thương mại,Thương mại điện tử,A00,200,23,200
TMA,Đại học Thương mại,Thương mại điện tử,A01,200,21.25,200
TMA,Đại học Thương mại,Tài chính - Ngân hàng,A00,300,22.5,350
TMA,Đại học Thương mại,Tài chính - Ngân hàng,D01,300,21,350
TMA,Đại học Thương mại,Kế toán,A00,300,23.5,350
TMA,Đại học Thương mại,Kế toán,A01,300,21.5,350
LPS,Đại học Luật TP Hồ Chí Minh,Quản trị kinh doanh,A00,100,21,100
LPS,Đại học Luật TP Hồ Chí Minh,Quản trị kinh doanh,A01,100,20.5,100
LPS,Đại học Luật TP Hồ Chí Minh,Quản trị kinh doanh,D01,100,20.3,100
LPS,Đại học Luật TP Hồ Chí Minh,Ngôn ngữ Anh,D01,50,21,50
QSX,Đại học Khoa học Xã hội và Nhân văn TP Hồ Chí Minh,Văn học,C00,100,22.25,100
QSX,Đại học Khoa học Xã hội và Nhân văn TP Hồ Chí Minh,Văn học,D01,100,20.62,100
QSX,Đại học Khoa học Xã hội và Nhân văn TP Hồ Chí Minh,Văn học,D14,100,20.81,100
QSX,Đại học Khoa học Xã hội và Nhân văn TP Hồ Chí Minh,Ngôn ngữ học,C00,100,22.25,100
QSX,Đại học Khoa học Xã hội và Nhân văn TP Hồ Chí Minh,Ngôn ngữ học,D01,100,20.58,100
QSX,Đại học Khoa học Xã hội và Nhân văn TP Hồ Chí Minh,Ngôn ngữ học,D14,100,20.7,100
QSX,Đại học Khoa học Xã hội và Nhân văn TP Hồ Chí Minh,Báo chí,C00,130,25,130
QSX,Đại học Khoa học Xã hội và Nhân văn TP Hồ Chí Minh,Báo chí,D01,130,22.25,130
QSX,Đại học Khoa học Xã hội và Nhân văn TP Hồ Chí Minh,Báo chí,D14,130,22.25,130
QSX,Đại học Khoa học Xã hội và Nhân văn TP Hồ Chí Minh,Lịch sử,C00,130,17.5,120
QSX,Đại học Khoa học Xã hội và Nhân văn TP Hồ Chí Minh,Lịch sử,D01,130,16.5,120
QSX,Đại học Khoa học Xã hội và Nhân văn TP Hồ Chí Minh,Lịch sử,D14,130,17.75,120
QSX,Đại học Khoa học Xã hội và Nhân văn TP Hồ Chí Minh,Nhân học,C00,60,18.75,60
QSX,Đại học Khoa học Xã hội và Nhân văn TP Hồ Chí Minh,Nhân học,D01,60,17.75,60
QSX,Đại học Khoa học Xã hội và Nhân văn TP Hồ Chí Minh,Nhân học,D14,60,17.75,60
QSX,Đại học Khoa học Xã hội và Nhân văn TP Hồ Chí Minh,Ngôn ngữ Italia,D03,50,17.42,50
DDK,Đại học Bách khoa - ĐH Đà Nẵng,Sư phạm kỹ thuật công nghiệp,"A00, A01",45,19.25,45
DDK,Đại học Bách khoa - ĐH Đà Nẵng,Công nghệ sinh học,"A00, D07",65,22,65
DDK,Đại học Bách khoa - ĐH Đà Nẵng,Công nghệ thông tin,"A00, A01",170,23.75,185
DDK,Đại học Bách khoa - ĐH Đà Nẵng,Công nghệ kỹ thuật vật liệu xây dựng,"A00, A01",60,20.25,60
DDK,Đại học Bách khoa - ĐH Đà Nẵng,Công nghệ chế tạo máy,"A00, A01",120,22.25,130
DDK,Đại học Bách khoa - ĐH Đà Nẵng,Quản lý công nghiệp,"A00, A01",60,21.25,70
DDK,Đại học Bách khoa - ĐH Đà Nẵng,Kỹ thuật cơ khí,"A00, A01",120,22.5,140
DDK,Đại học Bách khoa - ĐH Đà Nẵng,Kỹ thuật cơ điện tử,"A00, A01",120,23.25,140
DDK,Đại học Bách khoa - ĐH Đà Nẵng,Kỹ thuật nhiệt,"A00, A01",110,21.5,150
DDK,Đại học Bách khoa - ĐH Đà Nẵng,Kỹ thuật tàu thủy,"A00, A01",50,19.75,60
DDK,Đại học Bách khoa - ĐH Đà Nẵng,"Kỹ thuật điện, điện tử","A00, A01",125,23,170
DDK,Đại học Bách khoa - ĐH Đà Nẵng,"Kỹ thuật điện, điện tử (CLC)","A00, A01",45,21.5,90
DDK,Đại học Bách khoa - ĐH Đà Nẵng,Kỹ thuật hóa học,"A00, D07",70,20.5,80
DDK,Đại học Bách khoa - ĐH Đà Nẵng,Kỹ thuật môi trường,"A00, D07",70,20.25,80
DDK,Đại học Bách khoa - ĐH Đà Nẵng,Kỹ thuật dầu khí,"A00, D07",80,20.25,80
DDK,Đại học Bách khoa - ĐH Đà Nẵng,Công nghệ thực phẩm,"A00, D07",80,22.75,85
DDK,Đại học Bách khoa - ĐH Đà Nẵng,Kiến trúc,V01,120,18.5,90
DDK,Đại học Bách khoa - ĐH Đà Nẵng,Kỹ thuật công trình xây dựng,"A00, A01",200,21.25,215
DDK,Đại học Bách khoa - ĐH Đà Nẵng,Kỹ thuật công trình thủy,"A00, A01",65,19.5,110
DDK,Đại học Bách khoa - ĐH Đà Nẵng,Kinh tế xây dựng,"A00, A01",110,20,120
DDK,Đại học Bách khoa - ĐH Đà Nẵng,Quản lý tài nguyên và môi trường,"A00, D07",60,19.5,65
DDQ,Đại học Kinh tế - ĐH Đà Nẵng,Quản trị dịch vụ du lịch và lữ hành,"A00, A01, D01",240,20,195
DDQ,Đại học Kinh tế - ĐH Đà Nẵng,Quản trị khách sạn,"A00, A01, D01",130,21,100
DDQ,Đại học Kinh tế - ĐH Đà Nẵng,Marketing,"A00, A01, D01",160,20.75,130
DDQ,Đại học Kinh tế - ĐH Đà Nẵng,Kinh doanh thương mại,"A00, A01, D01",150,19,125
DDQ,Đại học Kinh tế - ĐH Đà Nẵng,Tài chính - Ngân hàng,"A00, A01, D01",360,18.25,295
DDQ,Đại học Kinh tế - ĐH Đà Nẵng,Kế Toán,"A00, A01, D01",320,20.75,270
DDQ,Đại học Kinh tế - ĐH Đà Nẵng,Kiểm toán,"A00, A01, D01",200,19.75,165
DDQ,Đại học Kinh tế - ĐH Đà Nẵng,Quản trị nhân lực,"A00, A01, D01",100,20,80
DDQ,Đại học Kinh tế - ĐH Đà Nẵng,Hệ thống thông tin quản lý,"A00, A01, D01",210,19.25,170
DDQ,Đại học Kinh tế - ĐH Đà Nẵng,Luật,"A00, A01, D01",90,20.5,75
DDQ,Đại học Kinh tế - ĐH Đà Nẵng,Luật kinh tế,"A00, A01, D01",150,21.25,125
DDQ,Đại học Kinh tế - ĐH Đà Nẵng,Thống kê,"A00, A01, D01",60,19.5,50
DDS,Đại học Sư phạm - ĐH Đà Nẵng,Sư phạm Hóa học,A00,45,20.75,45
DDS,Đại học Sư phạm - ĐH Đà Nẵng,Sư phạm Sinh học,B00,45,20.25,45
DDS,Đại học Sư phạm - ĐH Đà Nẵng,Sư phạm Ngữ văn,C00,45,18.5,45
DDS,Đại học Sư phạm - ĐH Đà Nẵng,Sư phạm Lịch sử,C00,45,16,45
DDS,Đại học Sư phạm - ĐH Đà Nẵng,Sư phạm Địa lý,C00,45,16.75,45
DDS,Đại học Sư phạm - ĐH Đà Nẵng,Việt Nam học,"C00, D01",80,17,90
DDS,Đại học Sư phạm - ĐH Đà Nẵng,Lịch sử,"C00, D01",70,16,90
DDS,Đại học Sư phạm - ĐH Đà Nẵng,Văn học,"C00, D01",110,16,180
DDS,Đại học Sư phạm - ĐH Đà Nẵng,Văn hóa học,"C00, D01",70,16,90
DDS,Đại học Sư phạm - ĐH Đà Nẵng,Tâm lý học,"B00, C00",70,17,90
DDS,Đại học Sư phạm - ĐH Đà Nẵng,Địa lý học,"C00, D01",70,16,90
DDS,Đại học Sư phạm - ĐH Đà Nẵng,Báo chí,"C00, D01",140,18.5,180
DDS,Đại học Sư phạm - ĐH Đà Nẵng,Công tác xã hội,"C00, D01",70,16,90
DDS,Đại học Sư phạm - ĐH Đà Nẵng,Quản lý tài nguyên và môi trường,B00,70,16,90
DDF,Đại học Ngoại ngữ - ĐH Đà Nẵng,Sư phạm tiếng Anh,D01,105,28.75,105
DDF,Đại học Ngoại ngữ - ĐH Đà Nẵng,Sư phạm tiếng Pháp,"D01, D03",35,18.25,35
DDF,Đại học Ngoại ngữ - ĐH Đà Nẵng,Sư phạm tiếng Trung Quốc,"D01, D04",35,21,35
DDF,Đại học Ngoại ngữ - ĐH Đà Nẵng,Ngôn ngữ Anh,D01,765,24.25,744
DDF,Đại học Ngoại ngữ - ĐH Đà Nẵng,Ngôn ngữ Nga,"D01, D02",70,20.25,70
DDF,Đại học Ngoại ngữ - ĐH Đà Nẵng,Ngôn ngữ Nga,A01,70,20.25,70
DDF,Đại học Ngoại ngữ - ĐH Đà Nẵng,Ngôn ngữ Pháp,"D01, D03",70,21.25,70
DDF,Đại học Ngoại ngữ - ĐH Đà Nẵng,Ngôn ngữ Trung Quốc,"D01, D04",140,24,140
DDF,Đại học Ngoại ngữ - ĐH Đà Nẵng,Ngôn ngữ Nhật,"D01, D06",105,28,105
DDF,Đại học Ngoại ngữ - ĐH Đà Nẵng,Ngôn ngữ Hàn Quốc,D01,105,26.5,105
DDF,Đại học Ngoại ngữ - ĐH Đà Nẵng,Quốc tế học,"A01, D01",140,23.5,100
DDF,Đại học Ngoại ngữ - ĐH Đà Nẵng,Đông phương học,"A01, D01",90,23,80
DDC,Trường cao đẳng Công nghệ - ĐH Đà Nẵng,Hệ thống thông tin quản lý,"A00, A01, D01",80,11,80
DDC,Trường cao đẳng Công nghệ - ĐH Đà Nẵng,Công nghệ sinh học,"A00, B00, D07, D08",70,12.5,70
DDC,Trường cao đẳng Công nghệ - ĐH Đà Nẵng,Công nghệ thông tin,"A00, A01, D01",250,12.5,280
DDC,Trường cao đẳng Công nghệ - ĐH Đà Nẵng,Công nghệ kỹ thuật kiến trúc,"A00, A01, C01, V01",70,10.75,70
DDY,Khoa Y Dược - Đại học Đà Nẵng,Điều dưỡng,B00,150,20.75,100
DDY,Khoa Y Dược - Đại học Đà Nẵng,Y đa khoa,B00,70,24,150
TDL,Đại học Đà Lạt,Toán học,"A00, A01",140,15,80
TDL,Đại học Đà Lạt,Sư phạm Toán học,"A00, A01",20,22,30
TDL,Đại học Đà Lạt,Công nghệ thông tin,"A00, A01",240,15,300
TDL,Đại học Đà Lạt,Vật lý học,"A00, A01",60,15,80
TDL,Đại học Đà Lạt,Sư phạm Vật lý,"A00, A01",20,18,30
TDL,Đại học Đà Lạt,"Công nghệ kỹ thuật điện tử, truyền thông","A00, A01",150,15,100
TDL,Đại học Đà Lạt,Kỹ thuật hạt nhân,"A00, A01",40,22.5,40
TDL,Đại học Đà Lạt,Hóa học,A00,60,15,80
TDL,Đại học Đà Lạt,Sư phạm Hóa học,A00,20,20,30
TDL,Đại học Đà Lạt,Sinh học,B00,50,15,100
TDL,Đại học Đà Lạt,Sư phạm Sinh học,B00,20,18,30
TDL,Đại học Đà Lạt,Khoa học môi trường,"A00, B00",60,15,80
TDL,Đại học Đà Lạt,Nông học,B00,150,15,100
TDL,Đại học Đà Lạt,Công nghệ sinh học,"A00, B00",115,15,365
TDL,Đại học Đà Lạt,Công nghệ sau thu hoạch,"A00, B00",150,15,125
TDL,Đại học Đà Lạt,Quản trị kinh doanh,"A00, A01,D001",80,15,200
TDL,Đại học Đà Lạt,Kế toán,"A00, A01",60,15,100
TDL,Đại học Đà Lạt,Luật,"C00, D01",210,18,300
TDL,Đại học Đà Lạt,Xã hội học,"C00, D01",30,15,30
TDL,Đại học Đà Lạt,Văn hóa học,"C00, D01",30,15,30
HBT,Học viện Báo chí và Tuyên truyền,Triết học Mác - Lênin,C04,50,19,40
HBT,Học viện Báo chí và Tuyên truyền,Triết học Mác - Lênin,D01,50,17.5,40
HBT,Học viện Báo chí và Tuyên truyền,Quản lý kinh tế,D01,50,21.25,40
HBT,Học viện Báo chí và Tuyên truyền,Quản lý hoạt động tư tưởng - văn hóa,C04,110,20,50
HBT,Học viện Báo chí và Tuyên truyền,Quản lý hoạt động tư tưởng - văn hóa,D01,110,18.5,50
HBT,Học viện Báo chí và Tuyên truyền,Chính trị phát triển,C03,55,19,50
HBT,Học viện Báo chí và Tuyên truyền,Quản lý xã hội,C04,55,21,50
HBT,Học viện Báo chí và Tuyên truyền,Quản lý xã hội,D01,55,20.5,50
HBT,Học viện Báo chí và Tuyên truyền,Quản lý xã hội,C03,55,20.25,50
HBT,Học viện Báo chí và Tuyên truyền,Tư tưởng Hồ Chí Minh,C04,55,18.5,40
HBT,Học viện Báo chí và Tuyên truyền,Tư tưởng Hồ Chí Minh,D01,55,17.5,40
HBT,Học viện Báo chí và Tuyên truyền,Tư tưởng Hồ Chí Minh,C03,55,17.5,40
HBT,Học viện Báo chí và Tuyên truyền,Văn hóa phát triển,C04,50,20.5,45
HBT,Học viện Báo chí và Tuyên truyền,Văn hóa phát triển,D01,50,19.5,45
HBT,Học viện Báo chí và Tuyên truyền,Văn hóa phát triển,C03,50,19.5,45
HBT,Học viện Báo chí và Tuyên truyền,Chính sách công,C04,55,19.75,50
HBT,Học viện Báo chí và Tuyên truyền,Chính sách công,D01,55,19,50
HBT,Học viện Báo chí và Tuyên truyền,Chính sách công,C03,55,19,50
HBT,Học viện Báo chí và Tuyên truyền,Xuất bản,C03,50,22,50
HBT,Học viện Báo chí và Tuyên truyền,Xã hội học,C04,50,22,50
HBT,Học viện Báo chí và Tuyên truyền,Xã hội học,D01,50,20.75,50
HBT,Học viện Báo chí và Tuyên truyền,Xã hội học,C03,50,20.5,50
HBT,Học viện Báo chí và Tuyên truyền,Công tác xã hội,C04,50,22,50
HBT,Học viện Báo chí và Tuyên truyền,Công tác xã hội,D01,50,22,50
HBT,Học viện Báo chí và Tuyên truyền,Công tác xã hội,C03,50,21.5,50
HBT,Học viện Báo chí và Tuyên truyền,Thông tin đối ngoại,D15,100,29.5,100
HBT,Học viện Báo chí và Tuyên truyền,Thông tin đối ngoại,D01,100,29.25,100
HBT,Học viện Báo chí và Tuyên truyền,Thông tin đối ngoại,D14,100,29.25,100
HBT,Học viện Báo chí và Tuyên truyền,Quan hệ chính trị và truyền thông quốc tế,D15,100,29.5,100
